area,bedrooms,bathrooms,stories,parking,mainroad,guestroom,basement,hotwaterheating,airconditioning,furnishingstatus,price
7420,4,2,3,2,yes,no,no,no,yes,furnished,13300000
8960,4,4,4,3,yes,no,no,no,yes,furnished,12250000
9960,3,2,2,2,yes,no,yes,no,no,semi-furnished,12250000
7500,4,2,2,1,yes,no,yes,no,yes,furnished,12215000
7420,4,1,2,2,yes,yes,yes,no,yes,furnished,11410000
8500,3,2,4,2,yes,no,no,no,yes,semi-furnished,10850000
10500,3,2,2,2,yes,no,yes,no,yes,semi-furnished,10150000
16200,5,3,2,0,yes,no,no,no,no,unfurnished,10150000
8100,4,1,2,2,yes,yes,yes,no,yes,furnished,9870000
5750,3,2,4,1,yes,yes,no,no,yes,semi-furnished,9800000
13200,3,1,2,2,yes,no,yes,no,yes,furnished,9800000
6000,4,3,2,2,yes,yes,yes,yes,no,furnished,9681000
6550,4,2,2,1,yes,no,yes,no,yes,semi-furnished,9240000
3500,4,2,2,2,yes,no,no,no,yes,furnished,9240000
7800,3,2,2,0,yes,no,no,no,yes,semi-furnished,9100000
6000,4,1,2,2,yes,no,yes,no,no,semi-furnished,9100000
6600,4,2,2,1,yes,yes,yes,no,yes,furnished,8960000
8500,3,2,3,2,yes,no,no,no,yes,furnished,8890000
4600,3,2,2,1,yes,yes,no,no,yes,semi-furnished,8855000
6420,3,2,2,1,yes,no,yes,no,yes,furnished,8750000
4320,3,1,2,1,yes,no,yes,no,yes,semi-furnished,8540000
7155,3,2,1,2,yes,no,yes,no,yes,furnished,8540000
8050,3,1,1,1,yes,yes,yes,no,yes,furnished,8400000
4560,3,2,2,1,yes,yes,yes,no,yes,furnished,8400000
8800,3,2,2,2,yes,no,no,no,yes,furnished,8400000
6540,4,2,2,1,yes,yes,yes,no,yes,semi-furnished,8295000
6000,3,2,4,1,yes,no,yes,no,yes,semi-furnished,8190000
8875,3,1,1,1,yes,no,no,no,no,semi-furnished,8120000
7950,5,2,2,2,yes,no,yes,no,yes,furnished,8080940
5500,3,2,2,1,yes,no,yes,no,yes,furnished,8043000
7475,3,2,4,2,yes,no,no,no,yes,furnished,7980000
7000,3,1,4,2,yes,no,no,no,yes,furnished,7910000
5500,4,2,2,1,yes,yes,yes,no,yes,furnished,7875000
7500,4,2,2,2,yes,no,no,no,yes,furnished,7840000
5500,3,2,2,1,yes,yes,no,no,yes,semi-furnished,7700000
6500,3,2,2,1,yes,no,yes,no,yes,furnished,7700000
5200,3,2,1,0,yes,no,yes,no,yes,furnished,7630000
6000,3,2,2,1,yes,no,yes,no,yes,semi-furnished,7560000
6600,4,2,2,0,yes,no,yes,no,yes,semi-furnished,7480000
5400,5,1,2,0,yes,no,yes,no,yes,furnished,7350000
5700,3,1,1,0,yes,no,yes,no,yes,semi-furnished,7343000
6600,3,2,3,0,yes,no,yes,no,yes,furnished,7245000
7200,3,2,1,2,yes,no,yes,no,yes,furnished,7210000
6500,3,2,3,0,yes,no,yes,no,yes,furnished,7140000
6000,3,2,2,1,yes,no,yes,no,yes,semi-furnished,7070000
6600,3,2,2,0,yes,no,yes,no,yes,semi-furnished,6930000
4800,3,2,1,0,yes,yes,yes,no,yes,semi-furnished,6860000
6000,3,2,3,1,yes,no,yes,no,yes,furnished,6790000
5400,4,1,2,0,yes,no,yes,no,no,semi-furnished,6790000
5200,3,2,4,0,yes,no,no,no,yes,furnished,6720000
3300,3,2,2,1,yes,no,yes,no,yes,furnished,6650000
6000,3,2,2,1,yes,no,yes,no,yes,furnished,6615000
5500,3,2,2,1,yes,no,yes,no,yes,semi-furnished,6580000
3500,4,2,2,2,yes,no,no,no,yes,furnished,6510000
6100,3,2,1,2,yes,no,yes,no,yes,furnished,6475000
5300,3,2,2,0,yes,no,yes,no,yes,semi-furnished,6440000
6000,3,1,2,1,yes,no,yes,no,yes,furnished,6405000
5500,3,2,1,1,yes,no,yes,no,yes,furnished,6300000
4500,3,2,2,1,yes,no,yes,no,yes,semi-furnished,6300000
4000,3,1,2,1,yes,no,yes,no,yes,furnished,6230000
6600,3,1,2,0,yes,no,yes,no,no,semi-furnished,6020000
4000,3,2,2,1,yes,no,yes,no,yes,semi-furnished,5950000
5400,3,1,2,0,yes,no,yes,no,yes,furnished,5950000
6000,3,1,2,1,yes,yes,yes,no,yes,semi-furnished,5810000
3000,3,1,2,0,yes,no,yes,no,no,semi-furnished,5600000
4500,3,1,2,0,yes,no,no,no,yes,semi-furnished,5530000
3300,3,1,2,1,yes,no,yes,no,yes,furnished,5500000
4500,3,1,1,0,yes,no,yes,no,yes,furnished,5383000
3500,3,1,2,0,yes,no,yes,no,no,semi-furnished,5320000
5200,3,1,1,0,yes,no,yes,no,yes,semi-furnished,5285000
3450,3,1,2,1,yes,no,yes,no,no,furnished,5250000
3500,3,1,2,0,yes,no,no,no,yes,semi-furnished,5250000
4100,2,2,1,0,yes,yes,yes,no,yes,semi-furnished,5145000
4200,3,1,2,1,yes,no,yes,no,yes,semi-furnished,5110000
3600,3,1,1,0,yes,no,yes,no,no,furnished,5040000
4400,3,1,2,0,yes,no,yes,no,no,semi-furnished,4970000
6000,3,1,2,1,yes,no,yes,no,yes,furnished,4900000
4500,3,1,1,0,yes,no,yes,no,no,furnished,4900000
3300,3,1,2,0,yes,no,yes,no,yes,semi-furnished,4830000
3500,2,2,1,0,yes,no,yes,no,yes,furnished,4690000
3000,3,1,2,0,yes,no,yes,no,yes,furnished,4620000
3600,3,1,1,1,yes,no,yes,no,no,semi-furnished,4515000
3300,3,1,2,1,yes,no,yes,no,no,semi-furnished,4340000
2400,3,1,2,0,yes,no,yes,no,no,semi-furnished,4270000
2910,3,1,2,0,no,no,yes,no,no,semi-furnished,4200000
3000,2,1,2,0,yes,no,yes,no,no,semi-furnished,4200000
3850,3,1,2,0,yes,no,yes,no,no,semi-furnished,4130000
3500,2,1,2,0,yes,no,yes,no,no,semi-furnished,4095000
4000,3,1,2,0,yes,no,yes,no,no,unfurnished,4000000
2800,3,1,2,0,yes,no,yes,no,no,unfurnished,3990000
2800,3,1,1,0,yes,no,yes,no,no,unfurnished,3920000
2700,3,1,1,0,yes,no,yes,no,no,semi-furnished,3885000
3100,3,1,1,0,no,no,yes,no,no,unfurnished,3830000
2550,3,1,2,0,yes,no,yes,no,no,furnished,3780000
3180,3,1,2,0,yes,no,yes,no,no,unfurnished,3745000
2500,2,1,2,0,yes,no,yes,no,no,semi-furnished,3710000
4000,3,1,1,0,yes,no,yes,no,no,unfurnished,3640000
2160,3,1,2,0,yes,no,yes,no,no,semi-furnished,3570000
3000,2,1,2,0,yes,no,yes,no,no,unfurnished,3500000
2500,3,1,2,0,yes,no,yes,no,no,unfurnished,3360000
2400,3,1,2,0,yes,no,yes,no,no,unfurnished,3290000
3000,2,1,1,0,yes,no,yes,no,no,unfurnished,3150000
1700,3,1,2,0,yes,no,yes,no,no,unfurnished,3010000
1900,3,1,2,0,yes,no,yes,no,no,unfurnished,2870000
2000,2,1,1,0,yes,no,yes,no,no,unfurnished,2800000
